DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalLoadValue	UpdateTime
2022-01-02 17:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4652.73	2022-01-02 22:00:57
2022-01-02 18:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4380.48	2022-01-02 22:00:57
2022-01-02 19:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4283.41	2022-01-03 03:00:53
2022-01-02 20:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4417.07	2022-01-02 23:01:04
2022-01-02 21:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4445.24	2022-01-03 03:00:53
2022-01-02 22:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4235.09	2022-01-03 03:00:53
2022-01-02 23:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4027.09	2022-01-03 04:00:55
2022-01-03 00:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	3947.21	2022-01-03 03:00:53
2022-01-03 01:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	3945.95	2022-01-03 04:00:55
2022-01-03 02:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	3942.73	2022-01-03 05:01:17
2022-01-03 03:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	3940.45	2022-01-03 06:00:55
2022-01-03 04:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4086.84	2022-01-03 07:01:00
2022-01-03 05:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4313.41	2022-01-03 08:01:08
2022-01-03 06:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4665.84	2022-01-03 11:01:00
2022-01-03 07:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4788.21	2022-01-03 10:01:10
2022-01-03 08:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4830.62	2022-01-03 13:01:04
2022-01-03 09:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4852.27	2022-01-03 13:01:04
2022-01-03 10:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4928.07	2022-01-03 15:00:57
2022-01-03 11:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4885.67	2022-01-03 16:00:52
2022-01-03 12:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4966.22	2022-01-03 17:00:51
2022-01-03 13:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	5034.32	2022-01-03 18:00:53
2022-01-03 14:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	5044.66	2022-01-03 17:00:51
2022-01-03 15:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	5215.83	2022-01-03 20:00:57
2022-01-03 16:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	5083.89	2022-01-03 21:00:51
2022-01-03 17:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	5019.56	2022-01-03 20:00:57
2022-01-03 18:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	5024.63	2022-01-03 23:00:57
2022-01-03 19:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	5050.34	2022-01-04 03:00:52
2022-01-03 20:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4897.16	2022-01-03 23:00:57
2022-01-03 21:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4770.69	2022-01-04 03:00:52
2022-01-03 22:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4595.75	2022-01-04 03:00:52
2022-01-03 23:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4521.31	2022-01-04 03:00:52
2022-01-04 00:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4645.3	2022-01-04 03:00:52
2022-01-04 01:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4492.9	2022-01-04 04:00:53
2022-01-04 02:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4517.16	2022-01-04 05:00:58
2022-01-04 03:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4485.67	2022-01-04 06:00:56
2022-01-04 04:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4719.73	2022-01-04 07:00:56
